URL,sales_rank,overall_rating,discount_value,discount_rate,feature1,answered_ques,positive,negative,exchange,emi,No_of_people,customer_reviews,most_helpful,bank_offer,months,5_rating,4_rating,3_rating,2_rating,1_rating,feature2,feature3
https://www.amazon.in/Redmi-Pro-Gold-64GB-Storage/dp/B07DJ8GTZJ/ref=sr_1_41?s=electronics&amp;ie=UTF8&amp;qid=1552738606&amp;sr=1-41&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,31,4.1,2500,19,4.2,1000,80,8,1,1,413,21411,4,1,5,54,26,8,3,5,4.1,4
https://www.amazon.in/Redmi-Pro-Blue-64GB-Storage/dp/B07DJHR5DY/ref=sr_1_39?s=electronics&amp;ie=UTF8&amp;qid=1552738606&amp;sr=1-39&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,42,4.1,2500,19,4.2,1000,80,8,1,1,413,21411,4,1,5,54,26,8,3,5,4.1,4
https://www.amazon.in/Redmi-6A-Rose-Gold-Storage/dp/B07DJHZCGT/ref=sr_1_42?s=electronics&amp;ie=UTF8&amp;qid=1552738606&amp;sr=1-42&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,14,4.2,1500,19,4,1000,82,8,1,1,254,20781,4,1,6,58,24,8,3,5,4,4
https://www.amazon.in/Honor-Blue-4GB-32GB-Storage/dp/B0784BZ5VY/ref=sr_1_178?s=electronics&amp;ie=UTF8&amp;qid=1552746012&amp;sr=1-178&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,190,4.1,2000,14,4.2,1000,80,12,1,1,13,19139,5,1,15,52,28,8,4,8,4,3.9
https://www.amazon.in/Honor-Gold-4GB-32GB-Storage/dp/B077PXTKSN/ref=sr_1_405?s=electronics&amp;ie=UTF8&amp;qid=1552751452&amp;sr=1-405&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,820,4.1,2000,14,4.2,1000,80,12,1,1,13,19139,5,1,7-Dec-17,52,28,8,4,8,4,3.9
https://www.amazon.in/Honor-Blue-4GB-64GB-Storage/dp/B077PTT8SK/ref=sr_1_284?s=electronics&amp;ie=UTF8&amp;qid=1552748958&amp;sr=1-284&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,472,4.1,0,0,4.2,1000,80,12,1,1,13,19139,5,1,7-Dec-17,52,28,8,4,8,4,3.9
https://www.amazon.in/Redmi-Grey-3GB-32GB-Storage/dp/B0756ZJ1FN/ref=sr_1_193?s=electronics&amp;ie=UTF8&amp;qid=1552746237&amp;sr=1-193&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,261,3.9,549,5,4,1000,74,17,1,1,9,15908,5,1,2,50,24,9,4,13,4,3.7
https://www.amazon.in/Redmi-Gold-3GB-32GB-Storage/dp/B0756Z242J/ref=sr_1_179?s=electronics&amp;ie=UTF8&amp;qid=1552746012&amp;sr=1-179&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,219,3.9,500,5,4,1000,74,17,1,1,9,15908,5,1,14,50,24,9,4,13,4,3.7
https://www.amazon.in/Samsung-On5-Gold-16GB-Storage/dp/B01FM7GGFI/ref=sr_1_121?s=electronics&amp;ie=UTF8&amp;qid=1552745211&amp;sr=1-121&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,90,4,1000,13,3.8,1000,75,15,1,1,16,13201,2,1,26,46,29,10,4,11,3.8,3.6
https://www.amazon.in/OnePlus-Mirror-Black-128GB-Storage/dp/B07DJHV6VZ/ref=sr_1_40?s=electronics&amp;ie=UTF8&amp;qid=1552738606&amp;sr=1-40&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,32,4.5,0,0,4.5,1000,90,7,1,1,1782,12927,5,1,5,76,14,3,2,5,4.5,4.5
https://www.amazon.in/OnePlus-Midnight-Black-128GB-Storage/dp/B07DJHY82F/ref=sr_1_52?s=electronics&amp;ie=UTF8&amp;qid=1552739092&amp;sr=1-52&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,46,4.5,0,0,4.5,1000,90,7,1,1,1782,12927,5,1,5,76,14,3,2,5,4.5,4.5
https://www.amazon.in/OnePlus-Midnight-Black-128GB-Storage/dp/B07DJHY82F/ref=sr_1_53?s=electronics&amp;ie=UTF8&amp;qid=1552739092&amp;sr=1-53&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,46,4.5,0,0,4.5,1000,90,7,1,1,1782,12927,5,1,5,76,14,3,2,5,4.5,4.5
https://www.amazon.in/OnePlus-Midnight-Black-256GB-Storage/dp/B07DJCJBRD/ref=sr_1_62?s=electronics&amp;ie=UTF8&amp;qid=1552739092&amp;sr=1-62&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,54,4.5,0,0,4.5,1000,90,7,1,1,1782,12927,5,1,5,76,14,3,2,5,4.5,4.5
https://www.amazon.in/Moto-Play-4th-Gen-White/dp/B01FM7H21A/ref=sr_1_342?s=electronics&amp;ie=UTF8&amp;qid=1552750748&amp;sr=1-342&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,426,3.8,2510,25,4,1000,71,20,1,1,9,9592,5,1,1-Jan-17,43,28,9,5,15,3.9,3.9
https://www.amazon.in/Motorola-Play-Black-RAM-Storage/dp/B01FM7GIR4/ref=sr_1_225?s=electronics&amp;ie=UTF8&amp;qid=1552748147&amp;sr=1-225&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,287,3.8,0,0,4,1000,71,20,1,1,9,9592,5,1,1-Jan-17,43,28,9,5,15,3.9,3.9
https://www.amazon.in/Honor-Blue-4GB-64GB-Storage/dp/B07DJCVWDT/ref=sr_1_27?s=electronics&amp;ie=UTF8&amp;qid=1552738606&amp;sr=1-27&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,28,4.4,3000,17,4.3,1000,89,7,1,1,874,9217,2,1,5,64,25,5,2,5,4.2,4.1
https://www.amazon.in/Honor-Black-4GB-64GB-Storage/dp/B07DJ8GR8W/ref=sr_1_47?s=electronics&amp;ie=UTF8&amp;qid=1552738606&amp;sr=1-47&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,50,4.4,3000,17,4.3,1000,89,7,1,1,874,9217,2,1,5,64,25,5,2,5,4.2,4.1
https://www.amazon.in/Honor-8X-4-64GB-Red/dp/B07DJD1C8W/ref=sr_1_71?s=electronics&amp;ie=UTF8&amp;qid=1552739092&amp;sr=1-71&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,72,4.4,3000,17,4.3,1000,89,6,1,1,874,9217,2,1,10,64,25,5,2,4,4.2,4.1
https://www.amazon.in/Honor-Navy-Blue-64GB-Storage/dp/B07DJHV73D/ref=sr_1_63?s=electronics&amp;ie=UTF8&amp;qid=1552739092&amp;sr=1-63&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,66,4.4,3000,15,4.3,1000,89,6,1,1,874,9217,2,1,4,64,25,5,2,4,4.2,4.1
