sales_rank,overall_rating,positive,negative,no_of_reviews,discount_value,discount_rate
10.0,4.3,84.0,11.0,1236.0,206.0,41.0
22.0,4.6,91.0,4.0,822.0,93.0,47.0
17.0,4.6,92.0,3.0,3925.0,141.0,40.0
